url,year,title,author,date,file_path
https://www.federalreserve.gov/newsevents/speech/files/waller20240301a.pdf,2024,"Thoughts on Quantitative Tightening, Including Remarks on the Paper ""Quantitative Tightening around the Globe:  What Have We Learned?""",Governor Christopher J. Waller,2024-03-01,"2024\Thoughts on Quantitative Tightening, Including Rem_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/bowman20240305a.pdf,2024,"Tailoring, Fidelity to the Rule of Law, and Unintended Consequences",Governor Michelle W. Bowman,2024-03-05,"2024\Tailoring, Fidelity to the Rule of Law, and Uninte_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/bowman20240307a.pdf,2024,Reflections on the Economy and Bank Regulation,Governor Michelle W. Bowman,2024-03-07,2024\Reflections on the Economy and Bank Regulation_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240325a.pdf,2024,The Dual Mandate and the Balance of Risks,Governor Lisa D. Cook,2024-03-25,2024\The Dual Mandate and the Balance of Risks_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/waller20240327a.pdf,2024,There’s Still No Rush,Governor Christopher J. Waller,2024-03-27,2024\There’s Still No Rush_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240401a.pdf,2024,"Hope, Promise, and Mentors",Governor Lisa D. Cook,2024-04-01,"2024\Hope, Promise, and Mentors_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/bowman20240402a.pdf,2024,"Bank Mergers and Acquisitions, and De Novo Bank Formation: Implications for the Future of the Banking System",Governor Michelle W. Bowman,2024-04-02,"2024\Bank Mergers and Acquisitions, and De Novo Bank Fo_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/kugler20240403a.pdf,2024,The Outlook for the U.S. Economy and Monetary Policy,Governor Adriana D. Kugler,2024-04-03,2024\The Outlook for the U.S. Economy and Monetary Poli_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240403a.pdf,2024,"Bank Liquidity, Regulation, and the Fed's Role as Lender of Last Resort",Governor Michelle W. Bowman,2024-04-03,"2024\Bank Liquidity, Regulation, and the Fed's Role as _2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/kugler20240404a.pdf,2024,Enriching Data and Analysis in Economics with Real Life Experiences,Governor Adriana D. Kugler,2024-04-04,2024\Enriching Data and Analysis in Economics with Real_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240405a.pdf,2024,Risks and Uncertainty in Monetary Policy: Current and Past Considerations,Governor Michelle W. Bowman,2024-04-05,2024\Risks and Uncertainty in Monetary Policy Current a_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/jefferson20240416a.pdf,2024,Economic Uncertainty and the Evolution of Monetary Policymaking,Vice Chair Philip N. Jefferson,2024-04-16,2024\Economic Uncertainty and the Evolution of Monetary_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240504a.pdf,2024,"""Oh, the Places You’ll Go and the Things You’ll Do""",Governor Lisa D. Cook,2024-05-04,"2024\Oh, the Places You’ll Go and the Things You’ll Do_2024.pdf"
https://www.federalreserve.gov/newsevents/speech/files/cook20240508a.pdf,2024,Current Assessment of Financial Stability,Governor Lisa D. Cook,2024-05-08,2024\Current Assessment of Financial Stability_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/bowman20240510a.pdf,2024,Financial Stability Risks: Resiliency and the Role of Regulators,Governor Michelle W. Bowman,2024-05-10,2024\Financial Stability Risks Resiliency and the Role _2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/jefferson20240513a.pdf,2024,Communicating about Monetary Policy,Vice Chair Philip N. Jefferson,2024-05-13,2024\Communicating about Monetary Policy_2024.pdf
https://www.federalreserve.gov/newsevents/speech/files/cook20240514a.pdf,2024,Growth and Change at Community Development Financial Institutions,Governor Lisa D. Cook,2024-05-14,2024\Growth and Change at Community Development Financi_2024.pdf
